!SIL	SIL
<UNK>	SPN
FJØRVEKTKLASSENES	f j W R v @ k t k l A s s e n @ s
FJØRVEKTKLASSENS	f j W R v @ k t k l A s s @ n s
FJØRVEKTKLASSER	f j W R v @ k t k l A s s @ R
FJØRVEKTKLASSERS	f j W R v @ k t k l A s s a S
FJØRVEKTKLASSES	f j W R v @ k t k l A s s @ s
FJØRVEKTS	f j W R v E k t s
FJØRVEKTSKLASSA	f j W R v @ k t s k l A s s A
FJØRVEKTSKLASSAS	f j W R v @ k t s k l A s s a s
FJØRVEKTSKLASSE	f j W R v @ k t s k l A s s a
FJØRVEKTSKLASSEN	f j W R v @ k t s k l A s s @ n
FJØRVEKTSKLASSENE	f j W R v @ k t s k l A s s E n a
FJØRVEKTSKLASSENES	f j W R v @ k t s k l A s s e n @ s
FJØRVEKTSKLASSENS	f j W R v @ k t s k l A s s @ n s
FJØRVEKTSKLASSER	f j W R v @ k t s k l A s s @ R
FJØRVEKTSKLASSERS	f j W R v @ k t s k l A s s a S
FJØRVEKTSKLASSES	f j W R v @ k t s k l A s s @ s
FLAGEVÊR	f l a g e v @ R
FLAGEVÊRA	f l a g e v e R A
FLAGEVÊRET	f l a g e v e R @ t
FLAGEVÊRI	f l a g e v e R i
FLASKEFÔRI	f l A s k e f u R i
FLATFÔR	f l A t f u R
FLATFÔRA	f l A t f u R A
FLATFÔRET	f l A t f u R @ t
FLATFÔRI	f l A t f u R i
FLESJØ	f l E S y
FLÒT	f l u t
FLÒTA	f l u t A
FLÒTARE	f l u t a R a
FLÒTAST	f l u t A s t
FLÒTASTE	f l u t A s t a
FLÒTE	f l u t a
FLÒTENE	f l u t E n a
FLÒTER	f l u t @ R
FLÒTET	f l u t @ t
FLÒTI	f l u t i
FLÒTT	f l O t
FLOVÊR	f l u v @ R
FLOVÊRA	f l u v e R A
FLOVÊRET	f l u v e R @ t
FLOVÊRI	f l u v e R i
FLYGEIDÉANE	f l y j aI d e a n a
FLYGEIDÉAR	f l y j aI d e a R
FLÆ	f l E
FLÆA	f l E A
FLÆAS	f l E a s
FLÆDD	f l a d
FLÆDDE	f l a d a
FLÆDDES	f l a d @ s
FLÆDDS	f l a d s
FLÆENDE	f l E E n n a
FLÆENDES	f l E E n n @ s
FLÆENE	f l E E n a
FLÆENES	f l E e n @ s
FLÆER	f l E @ R
FLÆERS	f l E a S
FLÆING	f l E I N
FLÆR	f l a R
FLÆS	f l E s
FLØ	f l y
FLØ	f l y
FLØA	f l y A
FLØAS	f l y a s
FLØDD	f l W d
FLØDDE	f l W d a
FLØDDES	f l W d @ s
FLØDDS	f l W d s
FLØE	f l y a
FLØENDE	f l y E n n a
FLØENDES	f l y E n n @ s
FLØENE	f l y E n a
FLØENES	f l y e n @ s
FLØERE	f l y e R a
FLØET	f l y @ t
FLØETS	f l y E t s
FLØING	f l y I N
FLØR	f l y R
FLØRNE	f l W R n a
FLØRNES	f l W R n @ s
FLØRS	f l W S
FLØS	f l y s
FLØTE	f l y t a
FLØTEN	f l y t @ n
FLØTENE	f l y t E n a
FLØTENES	f l y t e n @ s
FLØTENS	f l y t @ n s
FLØTER	f l y t @ R
FLØTERS	f l y t a S
FLØTES	f l y t @ s
FLØTT	f l W t
FLØTTEN	f l W t @ n
FLØTTEN	f l W t @ n
FLØTTS	f l W t s
FOAJÉANE	f u a j e a n a
FOAJÉAR	f u a j e a R
FOLKEMUSÉI	f O l k e m u s e i
FÓR	f u R
FÒR	f u R
FÔR	f u R
FÓRA	f u R A
FÒRA	f u R A
FÔRA	f u R A
FÒRANDE	f u R A n n a
FÔRANDE	f u R A n n a
FÒRAR	f u R a R
FÔRAR	f u R a R
FÓRARE	f u R a R a
FÒRAS	f u R a s
FÔRAS	f u R a s
FÓRAST	f u R A s t
FÒRAST	f u R A s t
FÔRAST	f u R A s t
FÓRASTE	f u R A s t a
FÔRAVL	f u R A v l
FÔRAVLANE	f u R A v l a n a
FÔRAVLAR	f u R A v l a R
FÔRAVLEN	f u R A v l @ n
FÔRAVLING	f u R A v l I N
FÔRAVLINGA	f u R A v l I N A
FÔRAVLINGANE	f u R A v l I N a n a
FÔRAVLINGAR	f u R A v l I N a R
FÔRAVLINGI	f u R A v l I N i
FÔRAVLSBRUK	f u R A v l s b R u k
FÔRAVLSBRUKA	f u R A v l s b R u k A
FÔRAVLSBRUKET	f u R A v l s b R u k @ t
FÔRAVLSBRUKI	f u R A v l s b R u dZ i
FÔRBLANDINGANE	f O R b l A n n I N a n a
FÔRBLANDINGAR	f O R b l A n n I N a R
FÔRBLANDINGI	f O R b l A n n I N i
FÔRBRUK	f O R b R u k
FÔRBRUKA	f O R b R u k A
FÔRBRUKET	f O R b R u k @ t
FÔRBRUKI	f O R b R u dZ i
FÔRDYRKING	f O R d y R dZ I N
FÔRDYRKINGA	f O R d y R dZ I N A
FÔRDYRKINGANE	f O R d y R dZ I N a n a
FÔRDYRKINGAR	f O R d y R dZ I N a R
FÔRDYRKINGI	f O R d y R dZ I N i
FÓRE	f u R a
FÒRE	f u R a
FOREDRAGSTURNÉ	f u R @ d R A g s t u R n e
FOREDRAGSTURNÉANE	f u R @ d R A g s t u R n e a n a
FOREDRAGSTURNÉAR	f u R @ d R A g s t u R n e a R
FOREDRAGSTURNÉEN	f u R @ d R A g s t u R n e @ n
FÔREINING	f u R aI n I N
FÔREININGA	f u R aI n I N A
FÔREININGANE	f u R aI n I N a n a
FÔREININGAR	f u R aI n I N a R
FÔREININGI	f u R aI n I N i
FÔREMNA	f u R @ m n A
FÔREMNE	f u R E m n a
FÔREMNET	f u R E m n @ t
FÔREMNI	f u R @ m n i
FÒREN	f u R @ n
FÓRENE	f u R E n a
FÒRENE	f u R E n a
FÒRENES	f u R e n @ s
FÒRENS	f u R @ n s
FÓRER	f u R @ R
FÒRER	f u R @ R
FÔRER	f u R @ R
FÒRERS	f u R a S
FÔRERT	f u R a R t
FÔRERTA	f u R a R t A
FÔRERTENE	f u R a R t E n a
FÔRERTER	f u R a R t @ R
FÔRERTI	f u R a R t i
FÔRERTRA	f u R a R t R A
FÔRERTRI	f u R a R t R i
FÓRET	f u R @ t
FÔRET	f u R @ t
FÔRETE	f u R e t a
FÔRETES	f u R e t @ s
FÔRETS	f u R E t s
FORFÓR	f O R f u R
FORFÓRS	f O R f O S
FORFÓRST	f O R f O R S t
FÔRGANGANE	f O R g A N a n a
FÔRGANGAR	f O R g A N a R
FÔRHAUST	f O R h a w s t
FÔRHAUSTA	f O R h a w s t A
FÔRHAUSTANDE	f O R h a w s t A n n a
FÔRHAUSTAR	f O R h a w s t a R
FÔRHAUSTARANE	f O R h a w s t a R a n a
FÔRHAUSTARAR	f O R h a w s t a R a R
FÔRHAUSTAREN	f O R h a w s t a R @ n
FÔRHAUSTAS	f O R h a w s t a s
FÔRHAUSTAST	f O R h a w s t A s t
FÔRHAUSTE	f O R h a w s t a
FÒRI	f u R i
FÔRI	f u R i
FÒRING	f u R I N
FÔRING	f u R I N
FÔRINGA	f u R I N A
FÒRINGANE	f u R I N a n a
FÔRINGANE	f u R I N a n a
FÒRINGAR	f u R I N a R
FÔRINGAR	f u R I N a R
FÒRINGEN	f u R I N @ n
FÔRINGEN	f u R I N @ n
FÔRINGI	f u R I N i
FÔRINGSEMNA	f u R I N s E m n A
FÔRINGSEMNE	f u R I N s E m n a
FÔRINGSEMNET	f u R I N s E m n @ t
FÔRINGSEMNI	f u R I N s E m n i
FÔRINGSFORSØK	f u R I N s f O R S y k
FÔRINGSFORSØKA	f u R I N s f O R S y k A
FÔRINGSFORSØKET	f u R I N s f O R S y k @ t
FÔRINGSFORSØKI	f u R I N s f O R S y dZ i
FÔRINGSKRØTER	f u R I N s k R y t @ R
FÔRINGSKRØTERA	f u R I N s k R y t e R A
FÔRINGSKRØTERET	f u R I N s k R y t e R @ t
FÔRINGSKRØTERI	f u R I N s k R y t e R i
FÔRINGSKRØTTER	f u R I N s k R W t @ R
FÔRINGSKRØTTERA	f u R I N s k R W t e R A
FÔRINGSKRØTTERET	f u R I N s k R W t e R @ t
FÔRINGSKRØTTERI	f u R I N s k R W t e R i
FÔRINGSTID	f u R I N s t i d
FÔRINGSTIDA	f u R I N s t i d A
FÔRINGSTIDENE	f u R I N s t i d E n a
FÔRINGSTIDER	f u R I N s t i d @ R
FÔRINGSTIDI	f u R I N s t i d i
FORKJØL	f O R dZ y l
FORKJØLE	f O R dZ y l a
FORKJØLENDE	f O R dZ y l E n n a
FORKJØLENDES	f O R dZ y l E n n @ s
FORKJØLER	f O R dZ y l @ R
FORKJØLES	f O R dZ y l @ s
FORKJØLING	f O R dZ y l I N
FORKJØLT	f O R dZ W l t
FORKJØLTE	f O R dZ W l t a
FORKJØLTES	f O R dZ W l t @ s
FORKJØLTS	f O R dZ W l t s
FÔRKNIPONE	f O R k n i p u n a
FÔRKNIPOR	f O R k n i p u R
FÔRKRØTER	f O R k R y t @ R
FÔRKRØTERA	f O R k R y t e R A
FÔRKRØTERET	f O R k R y t e R @ t
FÔRKRØTERI	f O R k R y t e R i
FÔRKRØTTER	f O R k R W t @ R
FÔRKRØTTERA	f O R k R W t e R A
FÔRKRØTTERET	f O R k R W t e R @ t
FÔRKRØTTERI	f O R k R W t e R i
FÔRKU	f O R k u
FÔRKUA	f O R k u A
FÔRKUI	f O R k u I
FÔRKVOTER	f O R k v u t @ R
FÔRKYR	f O R dZ y R
FÔRKYRNE	f O R dZ y R n a
FÔRLASS	f O R l A s
FÔRLASSA	f O R l A s s A
FÔRLASSET	f O R l A s s @ t
FÔRLASSI	f O R l A s s i
FÔRLAUS	f O R l a w s
FÔRLAUSARE	f O R l a w s a R a
FÔRLAUSAST	f O R l a w s A s t
FÔRLAUSASTE	f O R l a w s A s t a
FÔRLAUSE	f O R l a w s a
FÔRLAUST	f O R l a w s t
FÔRLEIGA	f O R l aI g A
FÔRLEIGE	f O R l aI g a
FÔRLEIGENE	f O R l aI g E n a
FÔRLEIGER	f O R l aI g @ R
FÔRLEIGONE	f O R l aI g u n a
FÔRLEIGOR	f O R l aI g u R
FORLÉT	f O R l e t
FORLÈT	f O R l @ t
FÔRLØA	f O R l y A
FÔRLØE	f O R l y a
FÔRLØENE	f O R l y E n a
FÔRLØER	f O R l y @ R
FÔRLØONE	f O R l y u n a
FÔRLØOR	f O R l y u R
FÔRLØYSA	f O R l y y s A
FÔRLØYSE	f O R l y y s a
FÔRLØYSENE	f O R l y y s E n a
FÔRLØYSER	f O R l y y s @ R
FÔRLØYSONE	f O R l y y s u n a
FÔRLØYSOR	f O R l y y s u R
FÔRMERGKÅL	f O R m a R g k o l
FÔRMERGKÅLANE	f O R m a R g k o l a n a
FÔRMERGKÅLAR	f O R m a R g k o l a R
FÔRMERGKÅLEN	f O R m a R g k o l @ n
FÔRMJØL	f O R m j y l
FÔRMJØLA	f O R m j y l A
FÔRMJØLET	f O R m j y l @ t
FÔRMJØLI	f O R m j y l i
FÔRMO	f O R m u
FÔRMOA	f O R m u A
FÔRMOET	f O R m O a t
FÔRMOI	f O R m O I
FORMÆL	f O R m E l
FÓRN	f O R n
FÓRNA	f O R n A
FÔRNAUD	f O R n a w d
FÔRNAUDA	f O R n a w d A
FÔRNAUDENE	f O R n a w d E n a
FÔRNAUDER	f O R n a w d @ R
FÔRNAUDI	f O R n a w d i
FÔRNAUT	f O R n a w t
FÔRNAUTA	f O R n a w t A
FÔRNAUTET	f O R n a w t @ t
FÔRNAUTI	f O R n a w t i
FÓRNENE	f O R n E n a
FÔRNEPA	f O R n e p A
FÔRNEPE	f O R n e p a
FÔRNEPENE	f O R n e p E n a
FÔRNEPER	f O R n e p @ R
FÔRNEPONE	f O R n e p u n a
FÔRNEPOR	f O R n e p u R
FÓRNER	f O R n @ R
FÓRNI	f O R n i
FÔRNØD	f O R n y d
FÔRNØDA	f O R n y d A
FÔRNØDENE	f O R n y d E n a
FÔRNØDER	f O R n y d @ R
FÔRNØDI	f O R n y d i
FÓRONE	f u R u n a
FÒRONE	f u R u n a
FÔRONN	f u R O n
FÔRONNA	f u R O n n A
FÔRONNENE	f u R O n n E n a
FÔRONNER	f u R O n n @ R
FÔRONNI	f u R O n n i
FÓROR	f u R u R
FÒROR	f u R u R
FÔRPLANTA	f O R p l A n t A
FÔRPLANTANE	f O R p l A n t a n a
FÔRPLANTAR	f O R p l A n t a R
FÔRPLANTE	f O R p l A n t a
FÔRPLANTEN	f O R p l A n t @ n
FÔRPLANTENE	f O R p l A n t E n a
FÔRPLANTER	f O R p l A n t @ R
FÔRPLANTONE	f O R p l A n t u n a
FÔRPLANTOR	f O R p l A n t u R
FORRÆDER	f O R R E d @ R
FÒRS	f O S
FÒRSKOT	f O R S k u t
FÒRSKOTA	f O R S k u t A
FÒRSKOTET	f O R S k u t @ t
FÒRSKOTI	f O R S k u t i
FÒRSKOTT	f O R S k O t
FÒRSKOTTA	f O R S k O t A
FÒRSKOTTET	f O R S k O t @ t
FÒRSKOTTI	f O R S k O t i
FÔRSLAG	f O R S l a g
FÔRSTOFF	f O R S t O f f
FÔRSTOFFA	f O R S t O f f A
FÔRSTOFFET	f O R S t O f f @ t
FÔRSTOFFI	f O R S t O f f i
FORSTØTT	f O R S t W t
FORSTØTTE	f O R S t W t a
FORSTØTTES	f O R S t W t @ s
FORSTØTTS	f O R S t W t s
FORSTÅELSE	f O R S t o a l s a
FORSVARSATTACHÉANE	f O R S v A R S A t A S e a n a
FORSVARSATTACHÉAR	f O R S v A R S A t A S e a R
FÓRT	f w R t
FORTAUSKAFÉANE	f w R t a w s k a f e a n a
FORTAUSKAFÉAR	f w R t a w s k a f e a R
FORVÊR	f O R v @ R
FORVÊRA	f O R v e R A
FÔRVERD	f O R v a R
FÔRVERDA	f O R v a R d A
FÔRVERDE	f O R v a R d a
FÔRVERDET	f O R v a R d a
FÔRVERDI	f O R v a R d i
FÔRVERDIANE	f O R v a R d i a n a
FÔRVERDIAR	f O R v a R d i a R
FÔRVERDIEN	f O R v a R d i @ n
FORVÊRET	f O R v e R @ t
FORVÊRI	f O R v e R i
FORÆR	f u R a R
FÔRÅR	f u R o R
FÔRÅRA	f u R o R A
FÔRÅRET	f u R o R @ t
FÔRÅRI	f u R o R i
FÓS	f u s
FÓSARE	f u s a R a
FÓSAST	f u s A s t
FÓSASTE	f u s A s t a
FÓSE	f u s a
FÓSEN	f u s @ n
FÓSENT	f u s E n t
FÓSI	f u s i
FÓSN	f O s n
FÓSNA	f O s n A
FÓSNANDE	f O s n A n n a
FÓSNAR	f O s n a R
FÓSNARE	f O s n a R a
FÓSNAS	f O s n a s
FÓSNAST	f O s n A s t
FÓSNASTE	f O s n A s t a
FÓSNE	f O s n a
FÓST	f w s t
FRELSESARMÉANE	f R E l s e s A R m e a n a
FRELSESARMÉAR	f R E l s e s A R m e a R
FRELSESARMÉMØTI	f R E l s e s A R m e m y t i
FRELSESARMÉOFFISERANE	f R E l s e s A R m e O f f i s e R a n a
FRELSESARMÉOFFISERAR	f R E l s e s A R m e O f f i s e R a R
FRELSESARMÉSOLDATANE	f R E l s e s A R m e s O l l a t a n a
FRELSESARMÉSOLDATAR	f R E l s e s A R m e s O l l a t a R
FREMSTÅ	f R E m s t o
FRIKASSÉANE	f R i k A s s e a n a
FRIKASSÉAR	f R i k A s s e a R
FROSTVÊR	f R w s t v @ R
FROSTVÊRA	f R w s t v e R A
FROSTVÊRET	f R w s t v e R @ t
FROSTVÊRI	f R w s t v e R i
FROTTÉANE	f R O t e a n a
FROTTÉAR	f R O t e a R
FROTTÉHANDDUK	f R O t e h A n n d u k
FROTTÉHANDDUKANE	f R O t e h A n n d u k a n a
FROTTÉHANDDUKAR	f R O t e h A n n d u k a R
FROTTÉHANDDUKEN	f R O t e h A n n d u k @ n
FROTTÉHANDKLEA	f R O t e h A n n k l e A
FROTTÉHANDKLEDA	f R O t e h A n n k l e d A
FROTTÉHANDKLEDE	f R O t e h A n n k l e d a
FROTTÉHANDKLEDET	f R O t e h A n n k l e d a
FROTTÉHANDKLEDI	f R O t e h A n n k l e d i
FROTTÉHANDKLEET	f R O t e h A n n k l e @ t
FROTTÉHANDKLEI	f R O t e h A n n k l aI
FROTTÉSOKK	f R O t e s O k
FROTTÉSOKKANE	f R O t e s O k a n a
FROTTÉSOKKAR	f R O t e s O k a R
FROTTÉSOKKEN	f R O t e s O k @ n
FROTTÉSTOFFI	f R O t e s t O f f i
FROTTÉTY	f R O t e t y
FROTTÉTYA	f R O t e t y A
FROTTÉTYET	f R O t e t y @ t
FROTTÉTYI	f R O t e t y i
FROTTÉTØYA	f R O t e t y y A
FROTTÉTØYI	f R O t e t y y i
FRUKTGELÉ	f R u k t g e l e
FRUKTGELÉANE	f R u k t g e l e a n a
FRUKTGELÉAR	f R u k t g e l e a R
FRUKTGELÉEN	f R u k t g e l e @ n
FRØ	f R y
FRÅHALDSKAFÉ	f R o h A l l s k a f e
FRÅHALDSKAFÉANE	f R o h A l l s k a f e a n a
FRÅHALDSKAFÉAR	f R o h A l l s k a f e a R
FRÅHALDSKAFÉEN	f R o h A l l s k a f e @ n
FULLMAKTSKOMITÉ	f u l m A k t s k u m i t e
FULLMAKTSKOMITÉANE	f u l m A k t s k u m i t e a n a
FULLMAKTSKOMITÉAR	f u l m A k t s k u m i t e a R
FULLMAKTSKOMITÉEN	f u l m A k t s k u m i t e @ n
FURÉR	f u R e R
FURÉRANE	f u R e R a n a
FURÉRAR	f u R e R a R
FURÉREN	f u R e R @ n
FYLKESMUSÉ	f y l k @ s m u s e
FYLKESMUSÉA	f y l k @ s m u s e A
FYLKESMUSÉET	f y l k @ s m u s e @ t
FYLKESMUSÉI	f y l k @ s m u s e i
FØ	f y
FØENDE	f y E n n a
FØENDES	f y E n n @ s
FØING	f y I N
FØL	f y l
FØLE	f y l a
FØLENDE	f y l E n n a
FØLENDES	f y l E n n @ s
FØLER	f y l @ R
FØLERE	f y l e R a
FØLERES	f y l e R @ s
FØLES	f y l @ s
FØLING	f y l I N
FØLS	f W l s
FØLT	f W l t
FØLTE	f W l t a
FØLTES	f W l t @ s
FØLTS	f W l t s
FØNE	f y n a
FØR	f y R
FÖR	f y R
FØRA	f y R A
FØRE	f y R a
FØREDRAGSTURNÉ	f y R @ d R A g s t u R n e
FØREDRAGSTURNÉANE	f y R @ d R A g s t u R n e a n a
FØREDRAGSTURNÉAR	f y R @ d R A g s t u R n e a R
FØREDRAGSTURNÉEN	f y R @ d R A g s t u R n e @ n
FØRENDE	f y R E n n a
FØRENDES	f y R E n n @ s
FØRENE	f y R E n a
FØRER	f y R @ R
FØRERS	f y R a S
FØRES	f y R @ s
FØRET	f y R @ t
FØRING	f y R I N
FØRINGEN	f y R I N @ n
FØRINGENE	f y R I N E n a
FØRINGENES	f y R I N e n @ s
FØRINGENS	f y R I N @ n s
FØRINGER	f y R I N @ R
FØRINGERS	f y R I N a S
FØRINGS	f y R I N s
FØRS	f W S
FØS	f y s
FØTAL	f y t a l
FØTT	f W t
FØTTE	f W t a
FØTTES	f W t @ s
FØTTS	f W t s
FØYKEVÊR	f y y k e v @ R
FØYKEVÊRA	f y y k e v e R A
FØYKEVÊRET	f y y k e v e R @ t
FØYKEVÊRI	f y y k e v e R i
FØYKJEVÊR	f y y dZ e v @ R
FØYKJEVÊRA	f y y dZ e v e R A
FØYKJEVÊRET	f y y dZ e v e R @ t
FØYKJEVÊRI	f y y dZ e v e R i
FÅREFRIKASSÉANE	f o R @ f R i k A s s e a n a
FÅREFRIKASSÉAR	f o R @ f R i k A s s e a R
GARDFÓR	g A R d f u R
GELÉAKTIGARE	g e l e A k t i g a R a
GELÉAKTIGAST	g e l e A k t i g A s t
GELÉAKTIGASTE	g e l e A k t i g A s t a
GELÉANE	g e l e a n a
GELÉAR	g e l e a R
GELÉPULVER	g e l e p u l v @ R
GELÉPULVERA	g e l e p u l v e R A
GELÉPULVERET	g e l e p u l v e R @ t
GELÉPULVERI	g e l e p u l v e R i
GELÉVORE	g e l e v u R a
GELÉVOREN	g e l e v u R @ n
GELÉVORI	g e l e v u R i
GELÉVORNARE	g e l e v O R n a R a
GELÉVORNAST	g e l e v O R n A s t
GELÉVORNASTE	g e l e v O R n A s t a
GELÉVORNE	g e l e v O R n a
GÊNE	g e n a
GÊNES	g e n @ s
GENÉVE	g e n e v a
GJELDVÊR	j E l l v @ R
GJELDVÊRA	j E l l v e R A
GJELDVÊRET	j E l l v e R @ t
GJELDVÊRI	j E l l v e R i
GJENDØPER	j E n n y p @ R
GJENDØPERS	j E n n y p a S
GJØR	j y R
GJØRE	j y R a
GJØREN	j y R @ n
GJØRENDE	j y R E n n a
GJØRENDES	j y R E n n @ s
GJØRENS	j y R @ n s
GJØRES	j y R @ s
GJØRING	j y R I N
GJØRS	j W S
GJØSENE	j y s E n a
GJØSENES	j y s e n @ s
GJØSER	j y s @ R
GJØSERS	j y s a S
GJØV	j y v
GLACÉANE	g l a k e a n a
GLACÉAR	g l a k e a R
GLACÉHANSKANE	g l a k e h A n s k a n a
GLACÉHANSKAR	g l a k e h A n s k a R
GLACÉLÊR	g l a k e l @ R
GLACÉLÊRA	g l a k e l e R A
GLACÉLÊRET	g l a k e l e R @ t
GLACÉLÊRI	g l a k e l e R i
GLYTTEVÊR	g l y t e v @ R
GLYTTEVÊRA	g l y t e v e R A
GLYTTEVÊRET	g l y t e v e R @ t
GLYTTEVÊRI	g l y t e v e R i
GLØTTEVÊR	g l W t e v @ R
GLØTTEVÊRA	g l W t e v e R A
GLØTTEVÊRET	g l W t e v e R @ t
GLØTTEVÊRI	g l W t e v e R i
GÒDANE	g u d a n a
GÒDAR	g u d a R
GÒDE	g u d a
GÒDEN	g u d @ n
GÒDORD	g u d O R
GÒDORDA	g u d O R d A
GÒDORDET	g u d O R d a
GÒDORDI	g u d O R d i
GÒDORDSMANN	g u d O R d s m A n
GÒDORDSMANNEN	g u d O R d s m A n n @ n
GÒDORDSMENN	g u d O R d s m E n
GÒDORDSMENNENE	g u d O R d s m E n n E n a
GÒDORDSMENNER	g u d O R d s m E n n @ R
GODVÊR	g O d v @ R
GODVÊRA	g O d v e R A
GODVÊRET	g O d v e R @ t
GODVÊRI	g O d v e R i
GODVÊRSBOLK	g O d v a R S b O l k
GODVÊRSBOLKANE	g O d v a R S b O l k a n a
GODVÊRSBOLKAR	g O d v a R S b O l k a R
GODVÊRSBOLKEN	g O d v a R S b O l k @ n
GODVÊRSDAG	g O d v a R S d a g
GODVÊRSDAGANE	g O d v a R S d a g a n a
GODVÊRSDAGAR	g O d v a R S d a g a R
GODVÊRSDAGEN	g O d v a R S d a g @ n
GODVÊRSHAUS	g O d v a R S h a w s
GODVÊRSHAUSANE	g O d v a R S h a w s a n a
GODVÊRSHAUSAR	g O d v a R S h a w s a R
GODVÊRSHAUSE	g O d v a R S h a w s a
GODVÊRSHAUSEN	g O d v a R S h a w s @ n
GODVÊRSNATT	g O d v a R S n A t
GODVÊRSNATTA	g O d v a R S n A t A
GODVÊRSNATTI	g O d v a R S n A t i
GODVÊRSNETTENE	g O d v a R S n E t E n a
GODVÊRSNETTER	g O d v a R S n E t @ R
GODVÊRSPERIODANE	g O d v a R S p e R i u d a n a
GODVÊRSPERIODAR	g O d v a R S p e R i u d a R
GODVÊRSPERIODE	g O d v a R S p e R i u d a
GODVÊRSPERIODEN	g O d v a R S p e R i u d @ n
GODVÊRSRI	g O d v a R S R i
GODVÊRSRIA	g O d v a R S R i A
GODVÊRSRIENE	g O d v a R S R i E n a
GODVÊRSRIER	g O d v a R S R i @ R
GODVÊRSRII	g O d v a R S R i i
GODVÊRSSKY	g O d v a R S S y
GODVÊRSSKYA	g O d v a R S S y A
GODVÊRSSKYENE	g O d v a R S S y E n a
GODVÊRSSKYER	g O d v a R S S y @ R
GODVÊRSSKYI	g O d v a R S S y i
GONORÉANE	g u n u R e a n a
GONORÉAR	g u n u R e a R
GÒV	g u v
GÒVA	g u v A
GÒVET	g u v @ t
GÒVI	g u v i
GRAPSEVÊR	g R A p s e v @ R
GRAPSEVÊRA	g R A p s e v e R A
GRAPSEVÊRET	g R A p s e v e R @ t
GRAPSEVÊRI	g R A p s e v e R i
GRAVÊR	g R a v @ R
GRAVÊRANE	g R a v e R a n a
GRAVÊRAR	g R a v e R a R
GRAVÊREN	g R a v e R @ n
GRISEVÊR	g R i s e v @ R
GRISEVÊRA	g R i s e v e R A
GRISEVÊRET	g R i s e v e R @ t
GRISEVÊRI	g R i s e v e R i
GRORVÊR	g R O R v @ R
GRORVÊRA	g R O R v e R A
GRORVÊRET	g R O R v e R @ t
GRORVÊRI	g R O R v e R i
GRÓV	g R u v
GRÒV	g R u v
GRÓVA	g R u v A
GRÒVA	g R u v A
GRÒVENE	g R u v E n a
GROVÊR	g R u v @ R
GRÒVER	g R u v @ R
GROVÊRA	g R u v e R A
GROVÊRET	g R u v e R @ t
GROVÊRI	g R u v e R i
GROVFÔRA	g R O v f u R A
GROVFÔRET	g R O v f u R @ t
GROVFÔRI	g R O v f u R i
GRÓVI	g R u v i
GRÒVI	g R u v i
GRÜN	g R y n
GRÜNDERANE	g R y n n e R a n a
GRÜNDERFORTENEST	g R y n n a R f w R t e n E s t
GRÜNDERFORTENESTA	g R y n n a R f w R t e n E s t A
GRÜNDERFORTENESTE	g R y n n a R f w R t e n E s t a
GRÜNDERFORTENESTENE	g R y n n a R f w R t e n E s t E n a
GRÜNDERFORTENESTER	g R y n n a R f w R t e n E s t @ R
GRÜNDERFORTENESTI	g R y n n a R f w R t e n E s t i
GRÜNDERFORTENESTONE	g R y n n a R f w R t e n E s t u n a
GRÜNDERFORTENESTOR	g R y n n a R f w R t e n E s t u R
GRØ	g R y
GRØDEVÊR	g R y d e v @ R
GRØDEVÊRA	g R y d e v e R A
GRØDEVÊRET	g R y d e v e R @ t
GRØDEVÊRI	g R y d e v e R i
GRØN	g R y n
GRØNE	g R y n a
GRØNES	g R y n @ s
GRØNFÔRA	g R W n f u R A
GRØNFÔRET	g R W n f u R @ t
GRØNFÔRI	g R W n f u R i
GRØS	g R y s
GRØT	g R y t
GRØTEN	g R y t @ n
GRØTENS	g R y t @ n s
GRØTER	g R y t @ R
GRØTS	g R W t s
GRÅVÊR	g R o v @ R
GRÅVÊRA	g R o v e R A
GRÅVÊRET	g R o v e R @ t
GRÅVÊRI	g R o v e R i
GRÅVÊRSDAG	g R o v a R S d a g
GRÅVÊRSDAGANE	g R o v a R S d a g a n a
GRÅVÊRSDAGAR	g R o v a R S d a g a R
GRÅVÊRSDAGEN	g R o v a R S d a g @ n
GYLLENLÊR	j y l l E n l @ R
GYLLENLÊRA	j y l l @ n l e R A
GYLLENLÊRET	j y l l @ n l e R @ t
GYLLENLÊRI	j y l l @ n l e R i
GÆREN	g a R @ n
GÆRENS	g a R @ n s
GÖRAN	g y R a n
GØRE	g y R a
GØTA	g y t A
GØTEBORG	g y t e b O R g
HALEFJØR	h a l @ f j y R
HALEFJØRA	h a l @ f j y R A
HALEFJØRAS	h a l @ f j y R a s
HALEFJØREN	h a l @ f j y R @ n
HALEFJØRENE	h a l @ f j y R E n a
HALEFJØRENES	h a l @ f j y R e n @ s
HALEFJØRENS	h a l @ f j y R @ n s
HALEFJØRER	h a l @ f j y R @ R
HALEFJØRERS	h a l @ f j y R a S
HALEFJØRS	h a l @ f j W S
HALMFÔR	h A l m f u R
HALMFÔRA	h A l m f u R A
HALMFÔRET	h A l m f u R @ t
HALMFÔRI	h A l m f u R i
HANDELSATTACHÉ	h A n n @ l s A t A S e
HANDELSATTACHÉANE	h A n n @ l s A t A S e a n a
HANDELSATTACHÉAR	h A n n @ l s A t A S e a R
HANDELSATTACHÉEN	h A n n @ l s A t A S e @ n
HANDELSFLÒTANE	h A n n @ l s f l u t a n a
